seed,k,functional_rank,jacobian_ratio
1,1,1,1.0
1,2,2,0.7341274780213652
1,3,3,0.4132130498124576
1,4,4,0.31765807846813543
1,5,5,0.37379277299693875
1,6,6,0.2612165194312928
1,7,7,0.2511715595588622
1,9,9,0.16285761479782157
1,8,8,0.23643761810810404
1,10,10,0.12868392237868043
1,11,11,0.10620356163178209
1,13,13,0.10400562727948262
1,12,12,0.10745132140588176
1,14,14,0.14090417254740464
1,15,15,0.05808394840839085
1,16,16,0.06485737692732946
1,17,17,0.08886957037935388
1,18,18,0.06482899382341452
2,1,1,1.0
2,2,2,0.7174125327444498
1,19,19,0.05870726401270248
1,20,20,0.08581951014917598
2,3,3,0.4175866754593957
2,4,4,0.544556341823695
2,6,6,0.2809954994927094
2,5,5,0.17153159308838573
2,7,7,0.19754177870374032
2,8,8,0.2194227905319589
2,9,9,0.14085907196384712
2,10,10,0.15863310726010418
2,11,11,0.12523863292399554
2,12,12,0.14615075231046354
2,14,14,0.06874263190518715
2,13,13,0.09250383692127215
2,15,15,0.06922269527428174
2,16,16,0.08214173259361406
2,18,18,0.05225373955780931
2,17,17,0.06788257460512147
2,19,19,0.02835469062062856
2,20,20,0.033352480356545505
