run,n,rho
grok,178,-0.24984227073298204
grok_s1,182,0.8726743775199531
grok_s2,181,0.8142917855625038
lowdata15,188,-0.1501001488629537
lowdata20,186,-0.11064729614753112
wd0,188,
s0_i0,180,0.8641790623884872
s0_i2,182,0.8084304001212591
s1_i1,181,0.8001396393661586
s1_i3,176,0.8131800644839797
s2_i0,182,0.1736614078793229
s3_i1,180,0.8827227177793553
s42_i0,181,0.7547352918825734
s4_i3,178,0.7435921446089817
