run,t_mem,t_gen,gap,x_chance,max_val,groks
grokpos_s0,1450,5110.0,3660.0,112.99911806943057,1.0,True
lowdata15_s0,620,110940.0,110320.0,111.92779291021479,1.0,True
lowdata15_s1,630,,,60.32912204982517,0.94140625,False
lowdata15_s2,660,,,0.653510551948052,0.015625,False
lowdata20_s0,800,39600.0,38800.0,112.97376256555944,1.0,True
wd0_s0,610,,,9.576884053446554,0.0859375,False
wd0_s1,630,,,7.724609375,0.083984375,False
