cycles,rho,k1,k2,k3,k4,k5,k6
10,0.48571428571428577,1.347564587246467,1.7130257032121006,2.1394901726370175,2.0734523679305576,2.076311656741961,2.0722360457235305
30,0.6,0.6084402460017115,2.3898797679626123,2.5651853246245024,2.529526711187212,2.577659773613051,2.5040051136276955
100,0.48571428571428577,1.499481040477774,3.576319697977618,3.8942455613137965,3.4233089739936955,3.7578371258561583,3.7343596808811665
300,0.942857142857143,1.2211799665918937,2.40694754655931,3.4681309377416376,4.18576976309691,4.785487468236595,4.636511361886694
1000,0.48571428571428577,1.2189960071132426,1.3848331062515022,4.505970424431923,4.394013732591638,4.394146506888645,4.345144763442848
