variation,window,LB,MG,PR,TwoNN,roughness
"reference (10 cyc/win, amp 1x)",2000,4.480307673342252,3.4681309377416376,2.7494741290153923,3.2561477630230806,0.8692920911522853
amplitude x0.1,2000,4.483004182312775,3.465096781403021,2.7479169680125133,3.255127135839216,0.868992867481058
amplitude x10,2000,4.7310595422443456,3.5669912076349775,2.9057142576770496,3.2204884403363203,0.8978749394109082
"speed x3, window fixed",2000,3.258952636993829,2.432716852697827,1.313358115609695,2.932345350866982,0.09021414407067085
"speed x1/3, window fixed",2000,1.9975485073935113,1.730672598763092,1.0038178724623477,10.83847966448818,0.010071957244519585
"speed x3, window /3",666,2.862270881902983,2.3093707663326275,1.3141326651873084,4.103905883109771,0.09027411403451464
"speed x1/3, window x3",6000,2.5089188528000914,2.012874270428938,1.0037583411638513,3.5467100987146574,0.010029646985736591
