observer,cfg_id,mae,max_error,rho,inversions,objective
gradient_fro,2,2.0824313458883927,4.3623741117477834,0.9203007518796992,5,3.48678746265056
gradient_fro,0,2.0247740205312565,6.008314465021492,0.9443609022556391,5,3.67602119028448
gradient_fro,1,2.182664572159534,4.666514950718996,0.9308270676691727,6,3.7826418147673833
gradient_fro,3,2.9502422659852003,6.7586284794094205,0.9383458646616539,6,4.864036537896613
latent_fro,1,4.253301752540698,13.096406118627037,0.5834586466165413,8,7.417762670334754
latent_fro,2,4.352113472671282,14.227687479383599,0.5609022556390978,9,7.836266594578821
latent_fro,3,4.724702325368041,15.814940497544754,0.2857142857142857,6,7.996943399999754
latent_fro,0,4.8265474947123925,13.312734393437697,0.6902255639097743,9,8.173457653728047
latent_projection,1,4.053428583396004,11.768322390263263,0.593984962406015,7,6.868676941935493
latent_projection,2,4.249761242705345,12.343125866647632,0.431578947368421,6,7.00123012270249
latent_projection,0,4.826434674625355,13.109993068674797,0.6060150375939849,7,7.842933634926574
latent_projection,3,4.907856265501355,13.90442268631163,0.0781954887218045,9,8.3435196684481
loss,2,2.0868692457734896,4.505034099025309,0.9293233082706768,4,3.362624360627286
loss,1,1.975364394548529,4.502928392833416,0.9308270676691727,6,3.5508036534735417
loss,0,2.079988505424465,6.839143217556206,0.9443609022556391,6,4.005859988057896
loss,3,2.6637807861322442,5.264674882516985,0.9112781954887217,6,4.353482018509792
output_fro,2,3.7571007113425323,11.44034388369953,0.669172932330827,8,6.673152293897462
output_fro,3,4.014076117689931,11.809656288316635,0.5203007518796992,6,6.685524560937425
output_fro,1,3.665754250355113,11.67007100915992,0.7127819548872181,9,6.7662649017291
output_fro,0,4.7058970409694725,13.14486877502614,0.724812030075188,8,7.8776273572233935
parameter_fro,1,4.231600393878797,11.892522547560517,0.5864661654135337,8,7.215478776012875
parameter_fro,2,4.2266870377447745,12.80942182974701,0.4015037593984962,8,7.348100312206826
parameter_fro,0,4.818397512348481,13.04440109714676,0.6661654135338345,7,7.825057676920495
parameter_fro,3,4.767938889252093,13.826607313196082,0.24060150375939846,7,7.8919299862315055
parameter_projection,1,3.8766730218633207,11.301563399180095,0.7263157894736841,8,6.771907531740335
parameter_projection,2,3.973902864977847,11.643629070989022,0.5789473684210527,8,6.920447225626201
parameter_projection,0,4.668993599337161,12.450016548216057,0.7157894736842104,6,7.436496081569569
parameter_projection,3,4.609196157439389,13.34728846950376,0.33383458646616543,7,7.661289427864953
