observer,seed,mae,max_error,rho,inversions,objective
gradient_fro,1,2.185043613420994,5.863160288366437,0.9398496240601503,7,4.114517656675959
gradient_fro,2,1.9282778517498333,4.776538460980618,0.9383458646616539,6,3.5447586208969257
latent_fro,1,4.304606274564769,13.758900944116142,0.437593984962406,9,7.7184414161821895
latent_fro,2,4.189045020227271,12.118122320899818,0.5834586466165413,8,7.206763368362243
latent_projection,1,4.228553315448287,12.727507974298813,0.6060150375939849,9,7.487679511593108
latent_projection,2,4.183800451554272,13.644968483025147,0.6045112781954887,7,7.280545724008044
loss,1,2.122076619659704,5.044570030425687,0.9428571428571428,6,3.7787621242235567
loss,2,2.0903844242519396,5.011527119258366,0.9353383458646616,6,3.742113492140694
output_fro,1,3.4309339156171283,13.189968072160028,0.7082706766917292,5,6.1594291264411325
output_fro,2,3.5628760983655936,11.11622786941693,0.706766917293233,9,6.580310278778133
parameter_fro,1,4.221450705538838,14.342681634237223,0.39999999999999997,7,7.422852950674421
parameter_fro,2,3.9150146782945754,12.608403076339009,0.6977443609022556,5,6.556275139745427
parameter_projection,1,4.080925535141015,13.400857521569488,0.5819548872180451,7,7.141054163376437
parameter_projection,2,3.633041775463718,10.235414510094216,0.6992481203007518,8,6.368353951977851
