cfg_id,seed,k,observer,MG,error,functional_rank,jacobian_ratio,window,cycles,max_E,kn,tau,eta
1,1,1,parameter_fro,1.0597109392730575,0.059710939273057484,1,1.0,3000,600.0,31,30,2,0.2
1,1,1,parameter_projection,1.0597158301027065,0.059715830102706535,1,1.0,3000,600.0,31,30,2,0.2
1,1,1,latent_fro,1.0597182411074062,0.0597182411074062,1,1.0,3000,600.0,31,30,2,0.2
1,1,1,latent_projection,1.0597148061895278,0.05971480618952785,1,1.0,3000,600.0,31,30,2,0.2
1,1,2,parameter_fro,2.0966420390223353,0.09664203902233526,2,0.7341274780213652,3000,600.0,31,30,2,0.2
1,1,2,parameter_projection,2.2050222134969113,0.2050222134969113,2,0.7341274780213652,3000,600.0,31,30,2,0.2
1,1,2,latent_fro,2.269216645012485,0.2692166450124849,2,0.7341274780213652,3000,600.0,31,30,2,0.2
1,1,2,latent_projection,2.204513570551496,0.20451357055149622,2,0.7341274780213652,3000,600.0,31,30,2,0.2
1,1,3,parameter_fro,3.8336945384674332,0.8336945384674332,3,0.4132130498124576,3000,600.0,31,30,2,0.2
1,1,3,parameter_projection,3.5463426660896338,0.5463426660896338,3,0.4132130498124576,3000,600.0,31,30,2,0.2
1,1,3,latent_fro,3.6360772566162067,0.6360772566162067,3,0.4132130498124576,3000,600.0,31,30,2,0.2
1,1,3,latent_projection,3.6871045427590206,0.6871045427590206,3,0.4132130498124576,3000,600.0,31,30,2,0.2
1,1,4,parameter_fro,3.5433038894519067,-0.45669611054809334,4,0.31765807846813543,3000,600.0,31,30,2,0.2
1,1,4,parameter_projection,4.121316042483928,0.12131604248392769,4,0.31765807846813543,3000,600.0,31,30,2,0.2
1,1,4,latent_fro,3.5873410476712504,-0.4126589523287496,4,0.31765807846813543,3000,600.0,31,30,2,0.2
1,1,4,latent_projection,3.7873881355123453,-0.21261186448765468,4,0.31765807846813543,3000,600.0,31,30,2,0.2
1,1,5,parameter_fro,6.070601345634366,1.0706013456343664,5,0.37379277299693875,3000,600.0,31,30,2,0.2
1,1,5,parameter_projection,5.287735777206642,0.2877357772066418,5,0.37379277299693875,3000,600.0,31,30,2,0.2
1,1,5,latent_fro,5.980423153809604,0.9804231538096042,5,0.37379277299693875,3000,600.0,31,30,2,0.2
1,1,5,latent_projection,6.774793274118978,1.774793274118978,5,0.37379277299693875,3000,600.0,31,30,2,0.2
1,1,6,parameter_fro,7.011953524979341,1.011953524979341,6,0.2612165194312928,3000,600.0,31,30,2,0.2
1,1,6,parameter_projection,7.334579413239524,1.3345794132395241,6,0.2612165194312928,3000,600.0,31,30,2,0.2
1,1,6,latent_fro,6.897835930208352,0.8978359302083518,6,0.2612165194312928,3000,600.0,31,30,2,0.2
1,1,6,latent_projection,6.730207732476841,0.730207732476841,6,0.2612165194312928,3000,600.0,31,30,2,0.2
1,1,7,parameter_fro,9.409642400907362,2.4096424009073623,7,0.2511715595588622,3000,600.0,31,30,2,0.2
1,1,7,parameter_projection,7.386593165830352,0.38659316583035164,7,0.2511715595588622,3000,600.0,31,30,2,0.2
1,1,7,latent_fro,9.579354364351634,2.5793543643516337,7,0.2511715595588622,3000,600.0,31,30,2,0.2
1,1,7,latent_projection,7.992933941550292,0.9929339415502918,7,0.2511715595588622,3000,600.0,31,30,2,0.2
1,1,9,parameter_fro,9.13956857097823,0.1395685709782306,9,0.16285761479782157,3000,600.0,31,30,2,0.2
1,1,9,parameter_projection,9.744516428466921,0.7445164284669215,9,0.16285761479782157,3000,600.0,31,30,2,0.2
1,1,9,latent_fro,9.202073787344348,0.20207378734434833,9,0.16285761479782157,3000,600.0,31,30,2,0.2
1,1,9,latent_projection,7.977012398593803,-1.0229876014061974,9,0.16285761479782157,3000,600.0,31,30,2,0.2
1,1,8,parameter_fro,9.715725742971825,1.7157257429718253,8,0.23643761810810404,3000,600.0,31,30,2,0.2
1,1,8,parameter_projection,7.544415619263913,-0.4555843807360871,8,0.23643761810810404,3000,600.0,31,30,2,0.2
1,1,8,latent_fro,10.35887430186495,2.358874301864949,8,0.23643761810810404,3000,600.0,31,30,2,0.2
1,1,8,latent_projection,8.859978654511448,0.8599786545114476,8,0.23643761810810404,3000,600.0,31,30,2,0.2
1,1,10,parameter_fro,9.676460243940975,-0.3235397560590254,10,0.12868392237868043,3000,600.0,31,30,2,0.2
1,1,10,parameter_projection,8.803803902394366,-1.1961960976056343,10,0.12868392237868043,3000,600.0,31,30,2,0.2
1,1,10,latent_fro,7.493210406251342,-2.5067895937486577,10,0.12868392237868043,3000,600.0,31,30,2,0.2
