max_E,tau,k,theiler,det,dep_mod_wd0,pct_mod_wd0,loc_mod_wd0,dep_mod_wd1,pct_mod_wd1,loc_mod_wd1,dep_mod_wd1_s43,pct_mod_wd1_s43,loc_mod_wd1_s43,dep_mod_wd1_s44,pct_mod_wd1_s44,loc_mod_wd1_s44,dep_s5_wd0,pct_s5_wd0,loc_s5_wd0,dep_s5_wd1,pct_s5_wd1,loc_s5_wd1,gen_min,ctrl_max,separates
4,1,5,autocorr,False,1.0095326173763466,0.48066298342541436,1935.0,1.5652703564174555,0.7283236994219653,-165.0,1.3686724663387195,0.37209302325581395,-345.0,2.268020291974076,0.7976878612716763,215.0,1.2015739645392391,0.2723735408560311,1662.5,1.9176559080798594,0.8293650793650794,312.5,1.3686724663387195,1.2015739645392391,True
4,1,5,autocorr,True,1.0799796228525866,0.6187845303867403,235.0,0.9893709145067542,0.12138728323699421,-965.0,1.337114557926985,0.7616279069767442,-945.0,2.0858206835779347,0.9364161849710982,215.0,1.3993931318068158,0.6770428015564203,362.5,1.9277521489765956,0.8611111111111112,362.5,0.9893709145067542,1.3993931318068158,False
4,1,5,embedding,False,1.0026098115525277,0.3314917127071823,1935.0,1.4339468870562049,0.6473988439306358,-65.0,1.0704335996688825,0.20930232558139536,-145.0,1.4738383423847567,0.8092485549132948,-885.0,1.1062152537791021,0.6070038910505836,562.5,1.3395677178521925,0.38095238095238093,112.5,1.0704335996688825,1.1062152537791021,False
4,1,5,embedding,True,1.204643405581832,0.287292817679558,335.0,1.0012383313459392,0.1329479768786127,-965.0,1.3784911221450364,0.5813953488372093,-945.0,2.126457654413976,0.930635838150289,215.0,1.3872971713609166,0.6147859922178989,362.5,1.9083801929395854,0.8650793650793651,362.5,1.0012383313459392,1.3872971713609166,False
4,1,20,autocorr,False,0.9994407956247924,0.34806629834254144,-965.0,1.816453904833431,0.9479768786127167,-65.0,1.632511767766645,0.8488372093023255,-645.0,2.244443753219408,0.930635838150289,315.0,1.0268711690811012,0.25680933852140075,362.5,1.8675861750284808,0.8888888888888888,1312.5,1.632511767766645,1.0268711690811012,True
4,1,20,autocorr,True,1.033997118525177,0.36464088397790057,-65.0,1.1724622556860997,0.5780346820809249,-365.0,1.18510121278767,0.6453488372093024,-745.0,1.3494897607888265,0.8901734104046243,-185.0,1.258319981217735,0.14007782101167315,212.5,1.8581195553179692,0.9722222222222222,1962.5,1.1724622556860997,1.258319981217735,False
4,1,20,embedding,False,0.9994849307762611,0.5248618784530387,-965.0,2.5476204402104052,0.9884393063583815,-165.0,2.0176526605359846,0.9883720930232558,-245.0,2.2310878749887113,0.976878612716763,-785.0,1.0712487223037597,0.9221789883268483,1512.5,2.000205010818912,0.9404761904761905,1262.5,2.000205010818912,1.0712487223037597,True
4,1,20,embedding,True,1.0405292835818523,0.5359116022099447,335.0,1.1148266467958297,0.5375722543352601,-365.0,1.3472317456638612,0.8023255813953488,455.0,1.46701272593906,1.0,-185.0,1.2844066131295535,0.29571984435797666,212.5,1.7958533534466943,0.996031746031746,1962.5,1.1148266467958297,1.2844066131295535,False
4,2,5,autocorr,False,1.0086756512611326,0.47513812154696133,1935.0,2.1525511411552336,0.7687861271676301,-165.0,1.6078980030171073,0.6627906976744186,-345.0,2.433322581132677,0.7861271676300579,215.0,1.2042813813139486,0.36964980544747084,1562.5,2.161780922416275,0.8968253968253969,-887.5,1.6078980030171073,1.2042813813139486,True
4,2,5,autocorr,True,1.0955400454626207,0.6187845303867403,935.0,0.9771816661853168,0.10404624277456648,-965.0,1.3756727658225798,0.5523255813953488,-945.0,2.286908092899618,0.930635838150289,215.0,1.5232396773558174,0.19455252918287938,1312.5,2.03837913476944,0.623015873015873,112.5,0.9771816661853168,1.5232396773558174,False
