max_E,tau,k,theiler,det,dep_mod_wd0,pct_mod_wd0,loc_mod_wd0,dep_mod_wd1,pct_mod_wd1,loc_mod_wd1,dep_mod_wd1_s43,pct_mod_wd1_s43,loc_mod_wd1_s43,dep_mod_wd1_s44,pct_mod_wd1_s44,loc_mod_wd1_s44,dep_s5_wd0,pct_s5_wd0,loc_s5_wd0,dep_s5_wd1,pct_s5_wd1,loc_s5_wd1,gen_min,ctrl_max,separates
4,1,5,autocorr,False,1.2466151237144174,0.40331491712707185,-965.0,1.098844391773794,0.21965317919075145,-965.0,1.2989980860158308,0.42441860465116277,155.0,2.6639455328627655,0.930635838150289,-185.0,1.1296781475616424,0.0,1512.5,1.5416347914935742,0.7777777777777778,362.5,1.098844391773794,1.2466151237144174,False
4,1,5,autocorr,True,1.2338332384340716,0.7348066298342542,135.0,1.0910564304844719,0.14450867052023122,-965.0,1.0104035301747756,0.05813953488372093,-845.0,1.4342510534693247,0.930635838150289,315.0,1.2340997102330173,0.05058365758754864,1512.5,1.5099650408170797,0.8571428571428571,362.5,1.0104035301747756,1.2340997102330173,False
4,1,5,embedding,False,1.2466151237144174,0.5966850828729282,-965.0,1.0810614924566704,0.1676300578034682,-765.0,1.3125843746225383,0.5988372093023255,155.0,1.6032621051011504,0.9595375722543352,215.0,1.1296781475616424,0.058365758754863814,1512.5,1.5416347914935742,0.8690476190476191,362.5,1.0810614924566704,1.2466151237144174,False
4,1,5,embedding,True,1.2338332384340716,0.712707182320442,135.0,1.0700675682017713,0.12716763005780346,-665.0,1.0217852743907105,0.05813953488372093,-845.0,1.4342510534693247,0.9132947976878613,315.0,1.2340997102330173,0.05058365758754864,1512.5,1.5099650408170797,0.8571428571428571,362.5,1.0217852743907105,1.2340997102330173,False
4,1,20,autocorr,False,1.1006885818877326,0.5303867403314917,135.0,1.7608436421173146,0.8959537572254336,435.0,2.1476583715897113,0.9534883720930233,455.0,2.0408083565418975,0.9248554913294798,515.0,1.1040711790452866,0.22957198443579765,62.5,2.570965951189153,0.876984126984127,1162.5,1.7608436421173146,1.1040711790452866,True
4,1,20,autocorr,True,1.1376307644075094,0.856353591160221,1635.0,1.4774282593603605,0.7803468208092486,135.0,2.084514999426385,1.0,55.0,2.2768516648190746,0.9248554913294798,315.0,1.1323115208657897,0.45136186770428016,62.5,1.7805763579114677,0.9603174603174603,1562.5,1.4774282593603605,1.1376307644075094,True
4,1,20,embedding,False,1.1006885818877326,0.7016574585635359,135.0,1.7697284476769772,0.9190751445086706,35.0,2.085949543515585,0.9593023255813954,455.0,1.511473278953635,0.9364161849710982,515.0,1.1040711790452866,0.23735408560311283,62.5,2.570965951189153,0.876984126984127,1162.5,1.511473278953635,1.1040711790452866,True
4,1,20,embedding,True,1.1376307644075094,0.8342541436464088,1635.0,1.4757983654482183,0.7745664739884393,-165.0,2.1714713765652687,1.0,55.0,2.2768516648190746,0.930635838150289,315.0,1.1323115208657897,0.45136186770428016,62.5,1.8743847419294655,0.9603174603174603,1612.5,1.4757983654482183,1.1376307644075094,True
4,2,5,autocorr,False,1.1048309811186077,0.13259668508287292,1635.0,1.2283378798740583,0.49710982658959535,-765.0,1.2004567219994429,0.19767441860465115,155.0,2.568438021405595,0.930635838150289,-285.0,1.1134544422776766,0.07392996108949416,1712.5,1.7961005904240164,0.8452380952380952,1162.5,1.2004567219994429,1.1134544422776766,True
4,2,5,autocorr,True,1.1111277229615732,0.08287292817679558,1435.0,1.0698501599860541,0.10982658959537572,-665.0,1.1209657872805032,0.023255813953488372,55.0,1.2320581881606967,0.4046242774566474,-585.0,1.146431892699098,0.054474708171206226,1712.5,1.6920041914251298,0.8015873015873016,-37.5,1.0698501599860541,1.146431892699098,False
