metric,phase,series,windows,FNN,Cao,Simplex,LB,MG
val_lossproj_r0,fitting,raw,0,,,,,
val_lossproj_r0,fitting,detrended,0,,,,,
val_lossproj_r0,memorization_gap,raw,38,3.6842105263157894,5.131578947368421,4.2105263157894735,24.571380005987873,3.4153607399347705
val_lossproj_r0,memorization_gap,detrended,38,3.9210526315789473,5.315789473684211,4.421052631578948,25.874762320161885,3.5042287257257376
val_lossproj_r0,transition,raw,0,,,,,
val_lossproj_r0,transition,detrended,0,,,,,
val_lossproj_r0,post_grok,raw,0,,,,,
val_lossproj_r0,post_grok,detrended,0,,,,,
weightproj__W_U__r0,fitting,raw,0,,,,,
weightproj__W_U__r0,fitting,detrended,0,,,,,
weightproj__W_U__r0,memorization_gap,raw,38,4.394736842105263,4.894736842105263,3.3421052631578947,8.14704499548065,2.782699480931093
weightproj__W_U__r0,memorization_gap,detrended,38,4.868421052631579,6.2894736842105265,3.3421052631578947,8.107230170745664,2.7629887865950877
weightproj__W_U__r0,transition,raw,0,,,,,
weightproj__W_U__r0,transition,detrended,0,,,,,
weightproj__W_U__r0,post_grok,raw,0,,,,,
weightproj__W_U__r0,post_grok,detrended,0,,,,,
gradproj__W_U__r0,fitting,raw,0,,,,,
gradproj__W_U__r0,fitting,detrended,0,,,,,
gradproj__W_U__r0,memorization_gap,raw,38,5.657894736842105,6.7631578947368425,7.921052631578948,363095.64383966837,8.778076338518312
gradproj__W_U__r0,memorization_gap,detrended,38,4.342105263157895,5.973684210526316,5.2894736842105265,2488.8496964843957,3.1992009365417444
gradproj__W_U__r0,transition,raw,0,,,,,
gradproj__W_U__r0,transition,detrended,0,,,,,
gradproj__W_U__r0,post_grok,raw,0,,,,,
gradproj__W_U__r0,post_grok,detrended,0,,,,,
updateproj__W_U__r0,fitting,raw,0,,,,,
updateproj__W_U__r0,fitting,detrended,0,,,,,
updateproj__W_U__r0,memorization_gap,raw,38,4.184210526315789,6.0,8.605263157894736,22.532407084740285,10.084714814048446
updateproj__W_U__r0,memorization_gap,detrended,38,3.973684210526316,6.447368421052632,8.157894736842104,25.568532882396383,9.420771078495857
updateproj__W_U__r0,transition,raw,0,,,,,
updateproj__W_U__r0,transition,detrended,0,,,,,
updateproj__W_U__r0,post_grok,raw,0,,,,,
updateproj__W_U__r0,post_grok,detrended,0,,,,,
weightproj__embed__W_E__r0,fitting,raw,0,,,,,
weightproj__embed__W_E__r0,fitting,detrended,0,,,,,
weightproj__embed__W_E__r0,memorization_gap,raw,38,5.131578947368421,5.684210526315789,2.6578947368421053,10.166306148054849,2.6731386088398246
weightproj__embed__W_E__r0,memorization_gap,detrended,38,5.552631578947368,5.7368421052631575,3.289473684210526,10.387413767070113,2.6731127220080166
weightproj__embed__W_E__r0,transition,raw,0,,,,,
weightproj__embed__W_E__r0,transition,detrended,0,,,,,
weightproj__embed__W_E__r0,post_grok,raw,0,,,,,
weightproj__embed__W_E__r0,post_grok,detrended,0,,,,,
gradproj__embed__W_E__r0,fitting,raw,0,,,,,
gradproj__embed__W_E__r0,fitting,detrended,0,,,,,
gradproj__embed__W_E__r0,memorization_gap,raw,38,6.184210526315789,7.368421052631579,8.210526315789474,123358.9243832587,8.495800915235938
gradproj__embed__W_E__r0,memorization_gap,detrended,38,3.973684210526316,6.7894736842105265,6.368421052631579,2763.696826885309,3.1898779486594964
gradproj__embed__W_E__r0,transition,raw,0,,,,,
gradproj__embed__W_E__r0,transition,detrended,0,,,,,
gradproj__embed__W_E__r0,post_grok,raw,0,,,,,
gradproj__embed__W_E__r0,post_grok,detrended,0,,,,,
