rank,observer,mae,max_error,rho,inversions,n_cells,roughness_rho
1,output_fro,1.5845595754055586,5.892081410098731,0.9357142857142857,9,15,-0.30714285714285716
2,latent_fro,1.8243005296300343,5.809660374700016,0.9642857142857143,7,15,-0.34285714285714286
3,output_projection,2.0251459161246768,6.277004269239933,0.9678571428571429,6,15,-0.3821428571428571
4,latent_projection,2.158822585715266,6.898384737758885,0.9607142857142857,8,15,-0.3964285714285714
5,gradient_projection,2.395454355025204,6.919866980258574,0.9214285714285714,9,15,-0.5678571428571428
6,gradient_fro,4.3318996573420785,7.454097563893125,0.9928571428571429,2,15,-0.85
7,loss,4.742440876708875,7.916079906056975,0.9928571428571429,2,15,-0.7107142857142857
