seed,arm,truth,matched_roughness,frac_degenerate,n_windows,tau_used,theiler_used,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
0,"one clock, four hands",1,0.09065416676646311,0.0,3,4.0,76.0,0.6032872066144537,2.3476397734891013e-06,0.607975993297624,2.2679288616960264e-06,2.1677539500085565,1.3009587423075087e-06,4.225108474934687,0.0045522632753101115,2.839339448052438,0.0024933046886000815,4.106553516509201,0.0059523914433487705,4.6291579531865015,0.0010916293696102404,6.581733612242341,0.026530307365235376,0.09068749837130868,3.976657943631119e-05,14.0,0.0
0,four independent clocks,4,0.09065416676646311,0.0,3,4.0,76.0,4.062216164556224,0.04792111477857824,4.791827815288043,0.06156470152027415,6.714327841710685,0.1912088546495459,2.2016121576587437,0.001884788733237852,1.6993541836072963,0.005316081290755153,2.7881054816754016,0.005421984173286009,4.219668869159244,0.0165510089157313,4.970017319741902,0.02915968948600409,0.09070823646631587,0.00013657017076928576,14.0,0.0
1,"one clock, four hands",1,0.08806915918661486,0.0,3,4.0,76.0,1.1623731836351319,1.5168370068695083e-06,1.1782861630228105,2.508956760083487e-06,2.8185091630954617,2.8851602732318964e-07,3.7774236072009764,6.029341794290587e-05,2.3427555541397957,6.26014377486844e-05,3.766845499398474,9.896387563843454e-05,3.771290655050469,9.31733593656734e-05,3.7788991114802144,9.137734589582553e-05,0.0880645353891872,9.60602307405461e-07,15.0,0.0
1,four independent clocks,4,0.08806915918661488,0.0,3,4.0,76.0,3.8007296677099833,0.0797857131979272,4.592959611676014,0.16535278152074523,6.51630769448662,0.12911854129450132,2.2358044468365303,0.0010907660268560263,1.540332113878979,0.00235976978167002,2.507348116842075,0.006923040210188128,4.037854838723533,0.0021867209728967493,4.833919395664097,0.005930477763008118,0.08803907011496127,5.0999375578397176e-05,14.0,0.0
2,"one clock, four hands",1,0.09098563507534697,0.0,3,4.0,76.0,0.472266568654029,1.3504044546874832e-07,0.4757818036333606,2.3116686681051385e-07,3.156338909354109,2.7096442011875966e-06,4.192957240530369,0.005557234068631704,3.5770436008571527,0.005101140358466983,3.800814267155248,0.010819768635545233,4.229585007767248,0.014801525978339749,6.566370407087177,0.032045379442457514,0.09095832277278257,7.400970043212235e-05,14.0,0.0
2,four independent clocks,4,0.09098563507534697,0.0,3,4.0,76.0,3.8852123190008974,0.033687601036613064,4.525946531052062,0.06647162638656072,6.488150469013906,0.16536867850945888,2.1962536761266955,0.0009581121101150762,1.8568530553626135,0.003950568200236124,2.5751638062391735,0.004853650902819515,3.812726027598549,0.012753152118347938,4.5625022894687985,0.01930276104955137,0.09098974495837503,2.2358456444122718e-05,14.0,0.0
3,"one clock, four hands",1,0.08963581082818306,0.0,3,4.0,76.0,1.1412563257790402,6.288131446912902e-05,1.1426729531508084,6.060397573932832e-05,1.7000508024269738,2.1208703138941915e-07,3.8416465699895816,0.004557908153393494,2.4174988577371703,0.02723195870380125,4.317048085519459,0.0417903765775676,4.830829503118684,0.03156837379616368,6.413835031363023,0.027114189464480996,0.08970930143143767,7.429584640699238e-05,14.0,0.0
3,four independent clocks,4,0.08963581082818307,0.0,3,4.0,76.0,3.808964616735376,0.023000476988128682,4.433126433324601,0.05949412038183466,6.11541360803549,0.2047153831312344,2.2407661999037995,0.0003555848856007505,1.710567551173322,0.008788333592495317,2.717961843808048,0.014734162260870638,4.079628885622491,0.0075877465786006815,4.719628798086837,0.0036751291502946726,0.08964385880866516,9.969884070548372e-06,14.0,0.0
4,"one clock, four hands",1,0.08714296989927035,0.0,3,4.0,76.0,1.0277643889352415,1.0803403510496825e-06,1.02913391923536,1.3495750489714484e-06,2.4375197191840647,3.7728405205290635e-07,4.022568078174317,0.002564765493317311,2.702805329788682,0.016590655539150203,3.9556843335509138,0.017478232043801077,5.145732768905521,0.016549101788227327,7.2453351934712265,0.026511133413547418,0.08698142400494058,0.00017256049768590205,15.0,0.0
4,four independent clocks,4,0.08714296989927037,0.0,3,4.0,76.0,4.059598847821786,0.029208322693112746,4.902420203030159,0.025579303499269873,7.622001814690185,0.7591990649326241,2.223656157616927,0.0010772982205094167,1.50689607301128,0.02112594782057721,2.2837220718556615,0.013729677258116928,4.0059390297538435,0.006334970801126732,5.008635584809528,0.02055247496466477,0.08699962886939228,0.0001501168495865536,14.0,0.0
5,"one clock, four hands",1,0.08953304582470144,0.0,3,4.0,76.0,1.111017797805753,3.6939461432803274e-06,1.1339688494685185,5.7034633176788905e-06,0.44196006753390243,3.4764376094990345e-08,3.854049595737234,0.003173446579158622,2.5987210835667875,0.007244723113992279,3.872036596023475,0.014204187271657856,4.4190362738829885,0.005741167927147065,5.458889459038094,0.03412685196842769,0.08961922429687207,0.0001106971662354503,14.0,0.0
5,four independent clocks,4,0.08953304582470144,0.0,3,4.0,76.0,3.812458806922215,0.04090772040549638,4.62807641888507,0.11061908738603456,7.002621418075968,0.12608817425991262,2.24241755444227,0.00033313107387838563,1.740914261245339,0.008432833058034744,2.6679062955863544,0.019392097623488768,4.045632704533481,0.012260272747130565,4.705763479127195,0.006519741617471447,0.08956088254499832,2.6241768604188214e-05,14.0,0.0
