seed,observer,truth,observed_roughness,frac_degenerate,n_windows,tau_used,theiler_used,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
0,identity,4,0.09065416676646311,0.0,3,4.0,76.0,4.062216164556224,0.04792111477857782,4.791827815288043,0.06156470152027415,6.714327841710683,0.19120885464954757,2.201612157658743,0.001884788733237354,1.6993541836072965,0.005316081290755549,2.7881054816754016,0.005421984173286009,4.219668869159243,0.01655100891573052,4.970017319741903,0.029159689486005162,0.09070823646631587,0.00013657017076929197,14.0,0.0
0,x + 0.25 x^3,4,0.09773852423558516,0.0,3,4.0,76.0,4.1848215025550894,0.08463675209812857,4.994837218800644,0.09566886069401423,8.134298959212389,0.19418099438947756,2.321059510949419,0.0013955148823074422,1.76993558310104,0.0057577067799930715,3.0435532753279118,0.012916813171563525,4.736248853644747,0.03158412225259508,5.608356284857938,0.014887861199341915,0.09757833434279882,0.00022709653928963848,13.0,0.0
0,x + x^3,4,0.11018264057799952,0.0,3,4.0,76.0,4.24205702027032,0.1088640701661899,5.037589617082463,0.1300184093118626,9.045776831918012,0.37403341781489663,2.573993452713341,0.0029716353082497697,1.933840397936636,0.008499350865480239,3.6617314471286266,0.018904969212335008,6.037206643677822,0.12950347531427744,7.216258834696609,0.11467097211638272,0.10989865201203305,0.00025022603493469103,13.0,0.0
0,x + x^5,4,0.1459098420801704,0.0,3,4.0,76.0,4.240188211084797,0.12515798779797288,5.171134604883746,0.15672139648537348,9.485558121805553,0.927135249744171,3.597207244171264,0.012418515646391983,2.5626359769134086,0.014688181212563968,6.553626963891527,0.06029864756669458,14.040849323304524,0.9996880645347683,18.102428204427373,1.0875115013417629,0.14553323967778253,0.000490238502545238,10.0,0.0
0,x + 0.1 x^7,4,0.16636496258870745,0.0,3,4.0,76.0,4.278771168750004,0.10871279955664073,5.18490682799522,0.09911254278236553,10.35184480023699,1.1390550154626937,4.226485288814363,0.048966728175917996,2.995125557474136,0.02513990459668307,8.299619559758202,0.181895156115419,19.701151401753123,1.9169841221666075,26.95247760286773,2.3185134954833213,0.16516802220176446,0.001263839338840304,9.0,0.0
1,identity,4,0.08806915918661488,0.0,3,4.0,76.0,3.8007296677099833,0.0797857131979272,4.592959611676014,0.16535278152074523,6.516307694486618,0.12911854129450132,2.2358044468365303,0.0010907660268558318,1.5403321138789792,0.0023597697816700367,2.507348116842075,0.006923040210188239,4.037854838723534,0.0021867209728971626,4.8339193956641,0.005930477763008292,0.08803907011496127,5.0999375578406196e-05,14.0,0.0
1,x + 0.25 x^3,4,0.09547300541519765,0.0,3,4.0,76.0,3.843477168910486,0.08920283214447888,4.766999513116206,0.19302464206172484,7.5596389200778855,0.13468793429243622,2.360462131674604,0.006006797872417956,1.6325097953277803,0.002582773189841206,2.807977023419465,0.01481901377897466,4.668486031737914,0.11954014569614116,5.594406166287304,0.13779239054888034,0.09547064940429312,0.00037519360406721423,14.0,0.0
1,x + x^3,4,0.10798115467248917,0.0,3,4.0,76.0,3.886893145301374,0.09878832656847525,4.8433960127191655,0.21518788795999394,7.889986460228191,0.5552703349284774,2.6242512922360737,0.008566650932625463,1.8112072609960275,0.003994773038529311,3.471763759303252,0.033274190346114035,6.214950607620129,0.37234583601279947,7.470730657607901,0.4297472335681301,0.10797677004418567,0.0005023949483767287,13.0,0.0
1,x + x^5,4,0.14383448080904362,0.0,3,4.0,76.0,3.806580757619865,0.03742145853726167,4.819323999607237,0.12905252133289052,8.360545291524168,1.0864181994741267,3.6884753469289904,0.024531953003929876,2.511404943238687,0.00893773244911045,6.694892302524098,0.1966205595870178,16.512163168240555,2.2322192036848634,20.687670931359126,2.5480719739284634,0.14381632725046353,0.0010028625745560564,10.0,0.0
1,x + 0.1 x^7,4,0.1646705173458037,0.0,3,4.0,76.0,3.835817027374004,0.024532503907930145,4.704243653656538,0.10749067513264264,9.04835295116657,1.1685666683913014,4.403013515337565,0.09659202812763652,3.002639228547094,0.04672625322688273,8.834128145107389,0.4863409822262352,24.512162784748565,3.844639044652822,32.38220846947675,4.7868996140718005,0.16474002292382306,0.002398032488654931,9.0,0.0
