observer,r,MG,truth
c_norm,2,2.35387034213973,2.0000127261684764
c_norm,5,4.5250713775690015,5.000039369751406
c_norm,8,5.815650060454694,8.000136942698903
c_norm,11,9.160008526237615,10.999484564024105
c_norm,14,9.555626210788741,13.997466087028698
c_norm,17,13.162334415518997,16.997372096130167
c_norm,20,13.636276136195889,19.99283979654369
g_fro,2,2.433658075530449,2.0000127261684764
g_fro,5,9.360201998770874,5.000039369751406
g_fro,8,14.87062712615391,8.000136942698903
g_fro,11,17.30661796154808,10.999484564024105
g_fro,14,19.93678527025833,13.997466087028698
g_fro,17,21.225085056695647,16.997372096130167
g_fro,20,21.15326168484748,19.99283979654369
w_fro,2,2.3539035675874196,2.0000127261684764
w_fro,5,4.525035930301833,5.000039369751406
w_fro,8,5.815641940761394,8.000136942698903
w_fro,11,9.160000283017197,10.999484564024105
w_fro,14,9.555632561850652,13.997466087028698
w_fro,17,13.16233895177654,16.997372096130167
w_fro,20,13.63626767633774,19.99283979654369
