arm,1,2,3,4,5,6,8
batch,6.20249741081866,6.2497948592541945,6.203118773881401,6.207011126522757,6.239726044919559,6.256978369637848,6.20098090058282
batch_proj,1.0000003020790438,1.7862040982538405,2.6406903559480637,3.2486682270442238,3.968776923869352,4.53347487741995,5.609410987983697
gd,1.048088641924106,1.0543771909221293,1.024629132547058,1.0468007814238773,1.0384086533338146,1.0296292779194118,1.0631890189220572
mixed,1.0000011487089844,1.9997826591363221,2.9995645179026917,3.9987531964726344,4.998082394879384,5.995090808458511,7.989283568622726
noise,1.0000010002684778,1.9992417588684392,2.9976816807041518,3.9929158159333644,4.990909376466827,5.992244008025612,7.98209208865252
noise_eta0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
noise_nopre,1.0958907350190867,2.0752133772560097,2.928029418865989,3.7352231582672046,4.814762712829937,5.464913133476363,6.4290474445895365
qp,1.0000006024182708,1.9999262806275753,2.999908910861354,3.999312985809631,4.9994744913778835,5.998174029154651,7.99661180427351
qp_eta0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qp_nopre,1.0000364630458556,1.9942417087008852,2.993771348659232,3.9925954646514734,4.992421611344776,5.892566080315026,7.547494291505549
qp_slow,1.0000277865213087,2.0000108546480595,2.999985810066872,3.9997453759558335,4.997494868173842,5.99712852854895,7.986704361544116
