arm,observer,calibration,mae,bias,n
batch,c_norm,isotonic,0.2662105405648167,-0.22275300204713838,16
batch,c_norm,affine,7.67844881612191,7.67844881612191,16
batch,c_norm,identity,8.909760538780905,8.909760538780905,16
batch,c_proj1,isotonic,0.2663425829279931,-0.22310511501560887,16
batch,c_proj1,affine,8.553054497798609,8.553054497798609,16
batch,c_proj1,identity,8.898770922219615,8.898770922219615,16
batch,g_fro,isotonic,0.26629008643269764,-0.22296512436148758,16
batch,g_fro,affine,2.2860250951867545,2.2860250951867545,16
batch,g_fro,identity,9.676031766584883,9.676031766584883,16
batch,w_fro,isotonic,0.2662105405648167,-0.22275300204713838,16
batch,w_fro,affine,7.667341298027589,7.667341298027589,16
batch,w_fro,identity,8.897091970974625,8.897091970974625,16
batch_proj,c_norm,isotonic,2.7028963809205955,2.7028963809205955,16
batch_proj,c_norm,affine,10.615014358633179,10.615014358633179,16
batch_proj,c_norm,identity,11.847392550742335,11.847392550742335,16
batch_proj,c_proj1,isotonic,2.702544267952125,2.702544267952125,16
batch_proj,c_proj1,affine,11.482599321571968,11.482599321571968,16
batch_proj,c_proj1,identity,11.828470906646931,11.828470906646931,16
batch_proj,g_fro,isotonic,2.7026842586062463,2.7026842586062463,16
batch_proj,g_fro,affine,4.961469169099408,4.961469169099408,16
batch_proj,g_fro,identity,12.084096891634548,12.084096891634548,16
batch_proj,w_fro,isotonic,2.7028963809205955,2.7028963809205955,16
batch_proj,w_fro,affine,10.615186463734878,10.615186463734878,16
batch_proj,w_fro,identity,11.847104323471026,11.847104323471026,16
gd,c_norm,isotonic,4.951271199835314,4.951271199835314,16
gd,c_norm,affine,25.69466710086413,25.69466710086413,16
gd,c_norm,identity,28.18061490755631,28.18061490755631,16
gd,c_proj1,isotonic,4.950919086866843,4.950919086866843,16
gd,c_proj1,affine,27.23234095037104,27.23234095037104,16
gd,c_proj1,identity,28.11599016012311,28.11599016012311,16
gd,g_fro,isotonic,4.951059077520965,4.951059077520965,16
gd,g_fro,affine,13.79478690134529,13.79478690134529,16
gd,g_fro,identity,27.954336107036006,27.954336107036006,16
gd,w_fro,isotonic,4.951271199835314,4.951271199835314,16
gd,w_fro,affine,25.6286363915291,25.6286363915291,16
gd,w_fro,identity,28.10693075722584,28.10693075722584,16
mixed,c_norm,isotonic,2.7479888802862726,1.753098761791752,16
mixed,c_norm,affine,7.97342313964455,7.97342313964455,16
mixed,c_norm,identity,9.040519193559465,9.040519193559465,16
mixed,c_proj1,isotonic,2.747812823802037,1.7527466488232815,16
mixed,c_proj1,affine,8.865471549104814,8.865471549104814,16
mixed,c_proj1,identity,9.14493112848874,9.14493112848874,16
mixed,g_fro,isotonic,2.7478828191290976,1.7528866394774028,16
mixed,g_fro,affine,3.717646467552542,3.717646467552542,16
mixed,g_fro,identity,10.526067757885325,10.526067757885325,16
mixed,w_fro,isotonic,2.7479888802862726,1.753098761791752,16
mixed,w_fro,affine,7.973888737323893,7.973888737323893,16
mixed,w_fro,identity,9.040649245805618,9.040649245805618,16
noise,c_norm,isotonic,2.74855527019941,1.7566759972080916,16
noise,c_norm,affine,9.533844819155009,9.533844819155009,16
noise,c_norm,identity,10.753038965045816,10.753038965045816,16
noise,c_proj1,isotonic,2.7483792137151744,1.756323884239621,16
noise,c_proj1,affine,10.521849017255468,10.521849017255468,16
noise,c_proj1,identity,10.8671418560228,10.8671418560228,16
noise,g_fro,isotonic,2.748449209042235,1.7564638748937422,16
noise,g_fro,affine,4.1364602822804715,4.1364602822804715,16
noise,g_fro,identity,11.388619239591996,11.388619239591996,16
noise,w_fro,isotonic,2.74855527019941,1.7566759972080916,16
noise,w_fro,affine,9.533893359302056,9.533893359302056,16
noise,w_fro,identity,10.752622776019575,10.752622776019575,16
noise_nopre,c_norm,isotonic,2.3975154415530726,2.1829160163427455,8
noise_nopre,c_norm,affine,6.220777986410356,6.220777986410356,8
noise_nopre,c_norm,identity,7.0746553277605795,7.0746553277605795,8
noise_nopre,c_proj1,isotonic,2.397339385068837,2.182563903374275,8
noise_nopre,c_proj1,affine,6.780925459657858,6.780925459657858,8
noise_nopre,c_proj1,identity,6.960234560519826,6.960234560519826,8
noise_nopre,g_fro,isotonic,2.3974093803958976,2.1827038940283963,8
noise_nopre,g_fro,affine,2.690117888256734,2.6533713009612097,8
noise_nopre,g_fro,identity,7.865148369083466,7.865148369083466,8
noise_nopre,w_fro,isotonic,2.3975154415530726,2.1829160163427455,8
noise_nopre,w_fro,affine,6.221849998142986,6.221849998142986,8
noise_nopre,w_fro,identity,7.075575015115139,7.075575015115139,8
qp,c_norm,isotonic,1.0677072630570774,-0.27417344346479033,16
qp,c_norm,affine,0.6767444720006038,-0.3346002219930016,16
qp,c_norm,identity,0.6337658677664185,-0.07895081477915161,16
qp,c_proj1,isotonic,1.1332350762651406,0.020567748723048007,16
qp,c_proj1,affine,0.7388535259336951,0.23302073003949497,16
qp,c_proj1,identity,0.7542799990597187,0.16872675967924386,16
qp,g_fro,isotonic,1.0817313288429684,-0.4448809917403749,16
qp,g_fro,affine,0.7073448364154282,-0.5291017247841994,16
qp,g_fro,identity,1.8128778280428852,1.74345913305879,16
qp,w_fro,isotonic,1.0676869614643634,-0.27405221983596195,16
qp,w_fro,affine,0.676811915438861,-0.33468969530240905,16
qp,w_fro,identity,0.6337915199105644,-0.07895808147203658,16
qp_nopre,c_norm,isotonic,1.0415867803431553,-0.4437362911542313,8
qp_nopre,c_norm,affine,0.5661504284492941,-0.14070898719126937,8
qp_nopre,c_norm,identity,0.5846863593950856,0.1225947493071481,8
qp_nopre,c_proj1,isotonic,1.023058227307879,-0.26361208430623717,8
qp_nopre,c_proj1,affine,0.41139747248160674,-0.006865392562552586,8
qp_nopre,c_proj1,identity,0.442422626630209,-0.08531658804702853,8
qp_nopre,g_fro,isotonic,1.1745135902203043,-0.6746566094659044,8
qp_nopre,g_fro,affine,0.9922340818679884,-0.8620538875368153,8
qp_nopre,g_fro,identity,1.0208902945618756,0.9312277914184115,8
qp_nopre,w_fro,isotonic,1.041554402404809,-0.4435848467847261,8
qp_nopre,w_fro,affine,0.566243660101935,-0.14078740781876034,8
qp_nopre,w_fro,identity,0.5846860473894588,0.12259516260824115,8
qp_slow,c_norm,isotonic,2.155180656141013,-1.655286535847222,16
qp_slow,c_norm,affine,1.730440848515625,-1.661920995634959,16
qp_slow,c_norm,identity,1.6058872375325441,-1.5362656630330866,16
qp_slow,c_proj1,isotonic,1.9216254607030665,-1.3551840755890385,16
qp_slow,c_proj1,affine,1.661378268286346,-1.4369866727283918,16
qp_slow,c_proj1,identity,1.683978944954132,-1.5679295972640266,16
qp_slow,g_fro,isotonic,2.0193963422176444,-1.5195397247967142,16
qp_slow,g_fro,affine,1.9370136769031543,-1.7541983965777739,16
qp_slow,g_fro,identity,1.314510510668325,-0.7943187276185563,16
qp_slow,w_fro,isotonic,2.1549533384921755,-1.6550592181983843,16
qp_slow,w_fro,affine,1.7304546166801371,-1.662048064431584,16
qp_slow,w_fro,identity,1.605869331584308,-1.5362385896124109,16
