period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
400,1,1,10,0,1,9,9,0.0225,1.4215032317114134,1.0093452930886724,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,1,10,1,1,9,9,0.0225,1.4214628714577462,1.0082360771891763,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,1,20,0,1,19,19,0.0475,1.4221049314755103,1.0377833526407543,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,1,20,1,1,19,19,0.0475,1.4220756526351237,1.0333534148735857,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,2,10,0,2,18,18,0.045,1.4220436358963335,1.037503751531517,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,2,10,1,2,18,18,0.045,1.422014219261352,1.033104125499289,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,2,20,0,2,38,38,0.095,1.4232613524968252,1.1525792340761045,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,2,20,1,2,38,38,0.095,1.423245042058006,1.1353756134425315,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,4,10,0,4,36,36,0.09,1.4231382644821797,1.1514977687056782,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,4,10,1,4,36,36,0.09,1.423121568914242,1.1344045245623655,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
400,1,4,20,0,4,76,76,0.19,1.42559956164926,1.592373141072641,1.2730971452688962,1.1106763708689327,0.02378681833058209,False,0.003535533905932738
400,1,4,20,1,4,76,76,0.19,1.4255996618904623,1.5367559721699655,1.1585834582294892,1.0089813544983322,0.022319385006895898,False,0.003535533905932738
