step,train_loss,val_loss,train_acc,val_acc,weight_norm,grad_norm,embed_grad_norm,grad_cosine
0,4.816437441932651,4.833921673963745,0.0078125,0.009765625,42.291504253378314,0.36709219778077246,0.12945313680085963,0.0
5,4.849251122815451,4.849204593913013,0.01171875,0.001953125,42.30350833583419,0.374125404609133,0.15402138420253372,0.09107607265769976
10,4.831031767798936,4.825075894653356,0.00390625,0.005859375,42.30183115829285,0.3067286520490771,0.13446302010829195,-0.0023941516640147084
15,4.821251359785093,4.825370027474966,0.0,0.005859375,42.31132961333411,0.2641440645636541,0.11233695834070812,-0.03604934012122254
20,4.807528551272837,4.811230413384994,0.01171875,0.0078125,42.326306346290934,0.25725981627724565,0.11513455950339753,0.08042518462174471
25,4.807996334584966,4.8152446710941925,0.015625,0.009765625,42.35125620929156,0.2305105485452359,0.10382735495774226,0.08647488888000947
30,4.803380875898279,4.8247105596343385,0.01171875,0.01171875,42.40668378418245,0.3058974837262924,0.141207840102113,0.2670226903945772
35,4.804527926248717,4.825764926264313,0.0078125,0.009765625,42.38080919987544,0.2847318067014117,0.1297685597619407,0.12733468720108215
40,4.79488085588425,4.824304786545349,0.0078125,0.0,42.34686352369396,0.2474873074171983,0.11889759320012255,0.2729961900691871
45,4.788251980917989,4.8250846571699295,0.00390625,0.001953125,42.34493893087014,0.24963406169205646,0.11989668582835471,-0.04388505207026742
50,4.777822207043443,4.826843359927095,0.015625,0.005859375,42.368601148684284,0.25627603806145755,0.12331944148930006,-0.006962056586587085
55,4.760721208546867,4.841925235550498,0.015625,0.0078125,42.394219593686515,0.2387099735681581,0.11532692972858959,-0.1622547780387405
60,4.773069759302654,4.857841931531686,0.015625,0.001953125,42.43641325000651,0.23942677520768907,0.10602470698309259,0.14418877951538298
65,4.776224467498601,4.853803188981919,0.0078125,0.001953125,42.51868492379321,0.2875993727066118,0.1327707402505792,-0.015391166731287336
70,4.7739200149089465,4.856022409320438,0.0,0.00390625,42.619008703822566,0.2522662794265066,0.12414281374315496,0.025601741623070735
75,4.7589825445074885,4.863062780629301,0.01171875,0.00390625,42.72252762722813,0.2513802486912524,0.11815460563626733,-0.09943364559130823
80,4.766771308761974,4.874516587572621,0.00390625,0.0,42.82876406106824,0.2886905574380883,0.13856134308985713,-0.011677008039427285
85,4.791192098895095,4.879223979519026,0.0,0.001953125,42.89636907329459,0.31194461404402785,0.14445889928362143,0.1969139585994698
90,4.72014885580502,4.888159213322883,0.01171875,0.001953125,43.03311245368239,0.2616255821996714,0.12077814424397162,-0.19229549598689324
95,4.709679720274882,4.916308807841023,0.015625,0.001953125,43.24733068092856,0.28355757968238593,0.13321542184305862,0.05283902109477353
100,4.748706666962517,4.939680822971798,0.0234375,0.00390625,43.451465712656066,0.3502032096773678,0.16644328454324453,-0.14367977803801407
105,4.731909584568383,4.960315932080321,0.01171875,0.001953125,43.62922867868596,0.3300493074619901,0.15152508416607127,-0.009302963976764406
110,4.7627623537578625,4.9608059396451525,0.00390625,0.0,43.68646217113138,0.4016088674477347,0.18891019978673323,0.24703040261217946
115,4.751678958430665,4.968928701566311,0.03125,0.0,43.69204863299216,0.9052775813903499,0.4189925650171588,-0.020192210931985068
120,4.686813913162001,4.991864239991386,0.015625,0.001953125,43.88616112641112,0.41409855789628747,0.19235098791600017,0.201913835846638
125,4.690902280435104,5.020461782054452,0.01953125,0.0,44.18146356772993,0.3908188751117627,0.18535558732498417,0.04652384369338319
130,4.721632951930941,5.051124705772497,0.01953125,0.0,44.475007131242585,0.45309773124997693,0.20044996545462368,0.13949638558586377
135,4.719614461780296,5.057959723238213,0.0078125,0.0,44.6408543400446,0.43452592600595974,0.19979153579404013,-0.03175805065914041
140,4.700497427573021,5.05461337783715,0.0078125,0.0,44.70977438361707,0.4014567342046831,0.1798448447621491,0.1244103465793283
145,4.638420179552057,5.047911146671455,0.01953125,0.0,44.784877677945545,0.388427119459458,0.17792871659224627,-0.06637812986691809
150,4.6024797741088275,5.112551941011044,0.04296875,0.0,45.115700650036885,0.4229279358363043,0.19729917674097186,0.1218288070583341
155,4.680478229498265,5.153167067052456,0.01171875,0.001953125,45.473633014809494,0.4965292291327259,0.22186097164377847,-0.015597471665990374
