true_rank,samples,parameters,pr_uncompressed,pr_sketched,difference
1,60,145500,1.0,1.0000000000000882,8.815170815523743e-14
2,60,145500,1.990973130581708,1.9928405809155407,0.001867450333832732
5,60,145500,4.560298111249393,4.538760328008774,-0.02153778324061939
10,60,145500,8.437138037554243,8.32634106136733,-0.1107969761869132
