run_id,optimizer,family,start_step,end_step,center_step,tau,loss_mean,loss_std,lag1_autocorrelation,fnn_raw,fnn_detrended,cao_raw,cao_detrended,simplex_raw,simplex_detrended,mle_raw,mle_detrended
SignMuon_lr0.03_19f64fe1,SignMuon,sign,0,399,200,1,4.526943359375,0.8988603326828623,0.9939975820503648,4.0,4.0,2.0,5.0,3.0,2.0,12.003836511046021,12.40031385807741
SignMuon_lr0.03_19f64fe1,SignMuon,sign,40,439,240,1,4.255908203125,0.39830551953486315,0.9897556328586606,4.0,4.0,2.0,4.0,15.0,3.0,12.921927797654886,13.712031959536901
SignMuon_lr0.03_19f64fe1,SignMuon,sign,80,479,280,1,4.122001953125,0.2546926207232412,0.9754863358288839,4.0,4.0,2.0,8.0,12.0,7.0,13.196772732537568,14.415239995385416
SignMuon_lr0.03_19f64fe1,SignMuon,sign,120,519,320,1,4.0356884765625,0.1793093554572395,0.9459090200469646,4.0,4.0,7.0,8.0,3.0,6.0,13.516953901466739,16.33830893990059
SignMuon_lr0.03_19f64fe1,SignMuon,sign,160,559,360,1,3.9774560546875,0.14527210871967566,0.9230603047349114,4.0,4.0,7.0,6.0,15.0,8.0,13.891716595187674,13.210729114916933
SignMuon_lr0.03_19f64fe1,SignMuon,sign,200,599,400,1,3.9296240234375,0.12371996958324923,0.8931564466217596,4.0,4.0,7.0,6.0,14.0,15.0,15.056019780445933,15.435947238378512
SignMuon_lr0.03_19f64fe1,SignMuon,sign,240,639,440,1,3.8901708984375,0.10745868410100311,0.870802374372341,4.0,3.0,5.0,8.0,15.0,15.0,14.841791280165667,14.324116680320051
SignMuon_lr0.03_19f64fe1,SignMuon,sign,280,679,480,1,3.8567431640625,0.09738412757472177,0.8315562992306736,4.0,4.0,5.0,5.0,4.0,11.0,13.845847643513377,14.790765645962534
SignMuon_lr0.03_19f64fe1,SignMuon,sign,320,719,520,1,3.8267919921875,0.08698714654069262,0.7922989068570968,6.0,5.0,5.0,8.0,15.0,15.0,13.374512407310899,14.306717688629076
SignMuon_lr0.03_19f64fe1,SignMuon,sign,360,759,560,1,3.8010693359375,0.07899758655748702,0.7398165780980881,6.0,4.0,5.0,6.0,6.0,12.0,14.172188536378044,16.163982083543385
SignMuon_lr0.03_19f64fe1,SignMuon,sign,400,799,600,1,3.7763623046875,0.07509543371198121,0.6915996771365078,7.0,4.0,7.0,4.0,15.0,14.0,14.546211938621438,16.153956495835928
SignMuon_lr0.03_19f64fe1,SignMuon,sign,440,839,640,1,3.7519677734375,0.0744388554639422,0.6797701761816235,7.0,4.0,6.0,4.0,15.0,15.0,14.47331096996557,16.60570807811538
SignMuon_lr0.03_19f64fe1,SignMuon,sign,480,879,680,1,3.7293798828125,0.07307145970786957,0.6589668789737714,7.0,4.0,8.0,6.0,3.0,15.0,14.024121691008236,16.930345715005767
