rank,observer,mae,max_error,rho,inversions,n_cells,roughness_rho
1,output_projection,0.27955152228966873,0.5021673784257477,1.0,0,4,-0.6
2,loss,0.3020836156911599,0.47211341474506874,1.0,0,4,-0.2
3,gradient_projection,0.30533829083147807,0.9722477857479728,1.0,0,4,0.2
4,latent_fro,0.32719794339781616,0.42015195568734853,1.0,0,4,0.0
5,latent_projection,0.33539611317273016,0.47346273706664377,1.0,0,4,-0.4
6,output_fro,0.3921827688298465,1.0143085870927395,1.0,0,4,-0.6
7,parameter_fro,0.4322637244455694,0.7820876427619776,1.0,0,4,-0.4
8,parameter_projection,0.45179681607406724,0.715014343501279,1.0,0,4,0.2
9,gradient_fro,1.7542473615503344,3.5561033868832013,1.0,0,4,-1.0
