cfg_id,seed,k,observer,MG,error,roughness,theiler,functional_rank,functional_ratio,trajectory_rank,trajectory_pr,trajectory_ratio,update_rank,update_pr,update_ratio,mean_accuracy,min_accuracy,resonance_margin,window,cycles,max_E,kn,tau,eta
0,0,1,parameter_fro,1.1205407531430125,0.12054075314301249,0.8643571918174123,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,parameter_projection,1.120545455585142,0.12054545558514196,0.8643023566286178,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,latent_fro,1.1208844752002587,0.12088447520025869,0.875033264087719,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,latent_projection,1.1205470355633291,0.12054703556332913,0.8643023571194952,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,gradient_fro,1.210880049219909,0.210880049219909,1.5712903089595598,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,gradient_projection,1.1205453776876968,0.1205453776876968,0.8644330059549926,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,output_fro,1.1205405111474906,0.12054051114749065,0.8643024450880472,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,output_projection,1.120550732754898,0.12055073275489803,0.8643021843041568,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,1,loss,1.1464385885679995,0.14643858856799952,1.5590662054753723,20,1,1.0,1,1.0,1.0,1,1.0,1.0,0.99,0.99,0.14227922061357856,3000,450.0,21,20,1,0.18
0,0,2,parameter_fro,2.2734281085829418,0.27342810858294175,0.9135851221958969,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,parameter_projection,2.4177078945135606,0.4177078945135606,1.0223186014057672,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,latent_fro,2.243723883717044,0.24372388371704412,1.0211693231969492,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,latent_projection,2.3060359136695365,0.30603591366953653,0.8670431125814655,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,gradient_fro,2.408143328362826,0.4081433283628262,1.639522627468435,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,gradient_projection,2.2781462705111406,0.2781462705111406,0.8979195965940323,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,output_fro,2.4288301376911106,0.42883013769111056,0.8731733198480937,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,output_projection,2.2844683616288006,0.2844683616288006,0.8987253742268914,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,2,loss,2.1959545340632585,0.19595453406325847,1.6971819480989565,20,2,0.9994464405216235,2,1.9989396886596036,0.9772279978328711,2,1.9313672837294162,0.8263050509707376,0.99,0.99,0.028605352067620382,3000,450.0,21,20,1,0.18
0,0,3,parameter_fro,3.2382173634622835,0.2382173634622835,0.7927401127408003,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
0,0,3,parameter_projection,3.544027863302107,0.544027863302107,0.9951487250348214,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
0,0,3,latent_fro,4.795605201241873,1.795605201241873,1.0880623421954438,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
0,0,3,latent_projection,3.634386804105933,0.6343868041059331,0.8965736815687051,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
0,0,3,gradient_fro,4.109122309868792,1.1091223098687921,1.5421160236660802,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
0,0,3,gradient_projection,3.7948686381337144,0.7948686381337144,0.8457380451745801,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
0,0,3,output_fro,3.6299535843398307,0.6299535843398307,0.8566529512884651,20,3,0.9982260094209993,3,2.9254525814719505,0.8198811961352939,3,2.9226619091868717,0.8210076824788785,0.99,0.99,0.0034608532095746214,3000,450.0,21,20,1,0.18
